"New E-Goi Customers","Novos Clientes E-Goi"
"the {{subject}} tag will be replaced by the original campaign subject","A etiqueta {{subject}} será substituída pelo assunto da campanha original"
"Send to subscribers that...","Enviar para subscritores que..."
"Send after X days","Enviar após X dias"
"Follow Up Message","Mensagem Aconpanhamento"
"Follow Up Information","Informação Follow Up"
"Edit Follow Up","Editar Follow Up"
"Add Follow Up","Adicionar Follow Up"
"Follow Up","Follow Up"
"New Email Follow Up","Novo Follow Up Email"
"New SMS Follow Up","Novo Follow Up SMS"
"New Group","Novo Grupo"
"Previous Group","Grupo Anterior"
"Updated at","Atualizado A"
"Operation","Operação"
"Added","Adicionado"
"Reverted","Revertido"
"Revert Group","Reverter Grupo"
"Assign a Customer Group","Atribuir a Grupo de Cliente"
"Group","Grupo"
"View (ID:' . $value . ","View (ID:' . $value . "
"Groups","Groupos"
"Url","URL"
"Links Logs","Registo Ligações"
"List Information","Informação Lista"
"Is Active","Está Ativo"
"Auto Add Customer","Adicionar Cliente Automaticamente"
"Select this option if you wish that every new customer is added to this list automatically.","Selecione esta opção se deseja que cada novo cliente seja adicionado automaticamente a esta lista"
"Default List","Lista por Omissão"
"If no Store defined in current lists or customer created from Admin","Se não estiver definida a Lista da Loja ou se o cliente foi criado na administração"
"Edit List '%s'","Editar Lista '%s'"
"Add List","Adicionar Lista"
"List Title","Título da Lista"
"Stores","Lojas"
"Subscribers","Subscritores"
"Total Subscribers","Total Subscritores"
"View Subscribers","Ver Subscritores"
"Report Information","Informação Relatório"
"Location","Localização"
"Applications","Aplicações"
"Domains","Domínios"
"Social","Social"
"Report Details. Last update: %s","Detalhes Relatório: Última Atualização: %s"
"Campaign Internal Name","Nome Interno Campanha"
"Returned","Devolvidos"
"Unique Clicks","Cliques únicos"
"Not Opened","Não Abertos"
"Recommendations","Recomendações"
"Total Countries","Total Países"
"Sent Date","Data Envio"
"Details","Detalhes"
"Segmentation","Segmentação"
"Customers Segment","Segmento Subscritores"
"Conditions","Condições"
"Customer Groups","Grupos Clientes"
"Groups Information","Informação Grupos"
"Auto Update","Atualização Automática"
"Activate this field if you want the Customer Group for clients in this segment to change Automatically. When a customer leaves this segment, his customer group will be reverted to the previous he had before entering this segment","Ative esta opção se deseja que os cliente que entrem para este segmento vejam o seu grupo de clientes alterado.Assim que um cliente deixa este segmento ele irá assumir o Grupo de Clientes que tinha antes de entrar para o segmento"
"Daily","Diariamente"
"Weekly","Semanalmente"
"Monthly","Mensalmente"
"New Customer Group","Novo Grupo Clientes"
"Choose the new customer group for customers in this segment. This option only works if the Auto Update field is different from No","Escolha o novo Grupo de Cliente para o cliente. Esta opção só funciona se o campo de Atualização Automática for diferente de Não"
"Priority","Prioridade"
"This option is very important because a customer can be in more than one segment. So the customer group from the segment with higher priority will prevail","Esta opção é muito importante já que um cliente pode estar em vários segmentos. Sendo assim o grupo do segmento com a prioridade mais alta prevalecerá"
"Preserve Customer Group","Manter Grupo de Clientes"
"Do not change customers group if their current group is one of the selected above","Não alterar o grupo do cliente se o cliente pertencer a um dos grupos selecionados acima"
"Segment Information","Informação Segmento"
"Description","Descrição"
"Update","Atualizar"
"Use this option if you want to keep track of subscribers evolution in this segment.","Utilize esta opção se deseja manter um registo da evolução do segmento"
"Edit Customers Segment '%s'","Editar Segmento Subscritores '%s'"
"Add Customers Segment","Adicionar Segmento de Subscritores"
"Records (est. All lists)","Registos (est. Todas as listas)"
"Update Subs.","Atualizar Subs."
"Last Update","Última Atualização"
"Segments","Segmentos"
"This may take several minutes if you have thousands of subscribers.  Continue?","Este processo pode demorar vários minutos se tiver milhares de registos. Continuar?"
"This will refresh your segment next time your cron runs. Continue?","Este processo irá atualizar o segmento assim que o cron correr. Continuar?"
"Background Refresh Segment","Atualizar em Segundo Plano"
"Add Segment","Adicionar Segmento"
"Subject A","Assunto A"
"Sender A","Remetente A"
"Subject B","Assunto B"
"Sender B","Remetente B"
"Test Deploy Date","Data Envio Campanha Teste"
"Send General Campaign after X days","Enviar Campanha Geral após X dias"
"Percentage Emails Send Test","Percentagem de emails a enviar no teste"
"How to determine winner","Como é determinado o vencedor?"
"Split Campaign","Campanha Ensaio"
"Email A","Email A"
"Email B","Email B"
"Send Test A","Enviar Ensaio A"
"Send Test B","Enviar Ensaio B"
"Edit Split Campaign","Editar Campanha Ensaio"
"Add Split Campaign","Adicionar Campanha Ensaio"
"General Send At","Envio geral A"
"Views A | B","Visualizações A | B"
"Clicks A | B","Cliques A | B"
"Conversions A | B","Conversões A | B"
"Winner","Vencedor"
"Splits","Ensaios"
"Subscriber Conversions","Conversões Subscritor"
"Subscriber information","Informação Subscritor"
"Cellphone Prefix","Prefixo Telemóvel"
"Cellphone Number","Número Telemóvel"
"Gender","Sexo"
"Birth Date","Data de Nascimento"
"Send Confirmation Email","Enviar Email de Confirmação"
"Subscriber Information","Informação Subscritor"
"Add Subscriber","Adicionar Subscritor"
"List Store View","Lista da Vista de Loja"
"Emails Sent","Emails Enviados"
"Email Views","Emails Vistos"
"SMS Delivered","SMS Entregues"
"Report Details","Detalhes Relatório"
"Templates Information","Informação Modelo"
"Are you sure you want to do this?","Tem a certeza que deseja continuar?"
"Edit Template","Editar Modelo"
"Add Template","Adicionar Modelo"
"Templates","Modelos"
"Visit time","Data visita"
"Urls Logs","Registos URLs"
"Your request has been sent","O seu pedido foi enviado"
"If you don't have an E-Goi account please %s. If you want to know more about E-Goi %s","Se não tem uma conta E-Goi %. Se deseja saber mais sobre a E-Goi %s"
"If you don't have an E-Goi account please %s","Se não tem uma conta E-Goi por favor %s"
"If you already have an E-Goi account please %s","Se já tem uma conta E-Goi %s"
"You don't have any verified sender in you account.","Não tem nenhum remetente verificado na sua conta."
"Senders Imported Successfully!!!","Remetentes importados com sucesso!!!"
"We where sorry, but we didn't find any new senders in your account.","Lamentamos, mas não encontramos novos remetentes na sua conta."
"You can not assign the same List to different stores","Não pode atribuir a mesma Lista a várias lojas"
"Success!!! Please wait while we setup the environment. Don\'t close or refresh this page.","Sucesso!!! Por favor aguarde enquanto preparamos o seu painel. Não  feche ou atualize esta página"
"Data will be synced next time cron runs","Os dados serão sincronizados da próxima vez que o cron correr"
"Success!!!","Sucesso!!!"
"Apikey invalid","Chave inválida"
"Success!!! Please wait while we setup the environment. Don't close or refresh this page.","Sucesso! Por favor aguarde enquanto preparamos umas cenas. Não feche ou atualize esta página."
"An error occurred while trying to create your account. Please try again","Ocorreu um erro ao criar a sua conta. Por favor tente novamente."
"E-Goi","E-Goi"
"Invalid Autoresponder Type","Tipo de Resposta Automática Inválida"
"New","Novo"
"Autoresponder does not exist","Resposta Automática não existe"
"The Autoresponder has been saved.","A Resposta Automática foi guardada"
"An error occurred while saving the Autoresponders data. Please review the log and try again.","Ocorreu um erro ao guardar a Resposta Automática. Por favor verifique o registo de erros e tente novamente."
"The Autoresponder has been deleted.","A Resposta Automática foi removida"
"An error occurred while deleting the Autoresponder. Please review the log and try again.","Ocorreu um erro ao remover a Resposta Automática. Por favor verifique o registo de erros e tente novamente"
"Unable to find a Autoresponder to delete.","Não foi possível encontrar a Resposta Automática a remover"
"Invalid Newsletter Type","Tipo de Newsletter inválido"
"This campaign is now closed. You can't modify it. Click on 'Duplicate & Save' to duplicate it and edit.","Esta campanha está encerrada. Não a pode modificar. Clique em 'Duplicar e Guardar' para a duplicar e editar "
"Campaign does not exist","A Campanha não existe"
"The campaign has been duplicated. You are now working on the duplicated one","A campanha foi duplicada. Está agora a trabalhar na campanha duplicada."
"The campaign has been saved.","A campanha foi guardada com sucesso."
"An error occurred while saving the campaign data. Please review the log and try again.","Ocorreu um erro ao guardar a campanha. Por favor veja o seu registo de erros e tente novamente"
"The campaign has been deleted.","A campanha foi removida"
"An error occurred while deleting the campaign. Please review the log and try again.","Ocorreu um erro ao remover a campanha. Por favor veja o seu registo de erros e tente novamente."
"Unable to find a campaign to delete.","Não foi possível encontrar a campanha a remover."
"Campaign Not Found","Campanha não encontrada"
"This is a recurring campaign. It will only run on schedule","Esta é uma campanha recorrente. Apenas correrá na data especificada"
"This campaign has segments or will be sent to multiple Lists. Because of that it will have to be sent next time your cron runs.","Esta campanha tem segmentos ou será enviada para múltiplas Listas. Por isso mesmo, apenas será enviada da próxima vez que o seu cron correr"
"Campaign Sent Successfully!","Campanha Enviada com Sucesso!"
"The campaign has been canceled.","A campanha foi cancelada"
"An error occurred while canceling the campaign. Please review the log and try again.","Ocorreu um erro ao cancelar a campanha. Por favor veja o registo de erros e tente novamente."
"Unable to find a campaign to cancel.","Não foi possível encontrar a campanha a cancelar."
"Please select event(s).","Por favor selecione os evento(s)"
"Total of %d record(s) were deleted.","Um total de %d registos foram removidos"
"Invalid Follow Up Type","Tipo de Follow Up inválido"
"Campaign not found","Campanha não encontrada"
"Follow Up does not exist","O Follow Up não existe"
"You can't create follow ups for recurring campaigns. Follow Up is inactive.","Não pode criar Follow Up para campanhas recorrentes. Follow Up está agora inativo"
"The Follow Up has been saved.","O Follow Up foi guardado"
"An error occurred while saving the Follow Up data. Please review the log and try again.","Ocorreu um erro ao guardar o Follow Up. Por favor analise o registo de erros e tente novamente"
"The Follow Up has been deleted.","O Follow Up foi removido"
"An error occurred while deleting the Follow Up. Please review the log and try again.","Ocorreu um erro ao remover o Follow Up. Por favor analise o registo de erros e tente mais tarde."
"Unable to find a Follow Up to delete.","Não foi possível encontrar o Follow Up a remover"
"Please select customer(s).","Por favor selecione o(s) cliente(s)"
"Total of %d record(s) were reverted.","Um total de %d registos foram revertidos"
"Total of %d record(s) were updated.","Um total de %d registos foram atualizados"
"This rule no longer exists.","Esta regra já não existe."
"New List","Nova Lista"
"List was successfully saved","Lista guardada com sucesso"
"Unable to find List to save","Não foi possível encontrar a Lista a guardar"
"Report not ready yet","O relatório ainda não se encontra disponível"
"This segment no longer exists.","O segmento não existe"
"New Segment","Novo Segmento"
"Edit Segment","Editar Segmento"
"Wrong Segment specified.","Segmento especificado inválido"
"The segment has been saved.","O segmento foi guardado"
"An error occurred while saving the segment data. Please review the log and try again.","Ocorreu um erro ao guardar os dados do segmento. Por favor veja o registo de erros e tente novamente."
"Segment was successfully deleted","Segmento removido com sucesso"
"Another update is already being processed. Please wait until it finishes.","Já existe um outro proceso a decorrer. Por favor aguarde que este termine"
"Segment successfully refreshed","Segmento Atualizado com sucesso"
"Segment will be built next time the cron runs","O segmento será atualizado da próxima vez que o cron correr"
"Splits A/B","Ensaios A/B"
"Edit","Editar"
"Split Campaign does not exist","Campanha de Ensaio não existe"
"Your deploy date cannot be earlier then <now>.","A sua data de envio não pode ser anterior à atual"
"Split Campaign was successfully saved","Campanha Ensaio guardada com sucesso"
"Unable to find Split Campaign to save","Não foi encontrada a campanha de Ensaio a enviar"
"Invalid Version","Versão de campanha inválida"
"Unable to find Split Campaign","Não foi encontrada a campanha de ensaio"
"Unable to perform action. Please verify all requisites","Não foi possível realizar a ação. Verifique os requisitos"
"Split Campaign was successfully deleted","Campanha de Ensaio removida com sucesso"
"Report","Reportar"
"Subscriber Manager","Gestão Subscritor"
"Subscriber does not exist","O subscritor não existe"
"Subscriber was successfully saved","Subscritor guardado com sucesso"
"Unable to find subscriber to save","Não foi possível encontrar o subscritor a guardar"
"Subscriber was successfully deleted","Subscritor removido com sucesso"
"Templates Manager","Gestão Modelos"
"Template does not exist","O modelo não existe"
"Template was successfully saved","Modelo guardado com sucesso"
"Unable to find template to save","Não foi encontrado o Modelo a guardar"
"Template was successfully deleted","Modelo removido com sucesso"
"Urls","URLs"
"E-Goi Email Marketing","E-Goi Email Marketing"
"Configuration","Configuração"
"APi Key","Chave API"
"Newsletter Subscription","Subscrição Newsletter"
"Require Subscription Confirmation","Requerer confirmação cubscrição"
"SMS Comments","Comentários SMS"
"Number","Número"
"SMS sender's","Remetentes SMS"
"Invoices","Faturas"
"Enable sending SMS comments in Invoices","Permitir envios de SMS em Faturas"
"Orders","Encomendas"
"Enable sending SMS comments in Orders","Permitir envios de SMS em Encomendas"
"Shippments","Envios"
"Enable sending SMS comments in Shippments","Permitir envios de SMS em Envios"
"Credit Memo","Nota Crédito"
"Enable sending SMS comments in Credit Memos","Permitir envios de SMS em Notas de Crédito"
"Instant SMS Notifications","Notificações SMS instantâneas"
"Recipients","Destinatários"
"This Phone list comes from the 'Mag Administrators' List","A lista de números vem dos subscritores da Lista Mag Administrators"
"New Order","Nova Encomenda"
"Sends a Notification when a new Order is received","Envia uma notificação SMS quando é recebida uma nova encomenda"
"New Review","Nova Análise"
"Sends a Notification when a new Review is received","Envia uma notificação SMS quando é enviada uma nova análise a produto"
"New Tag","Nova Etiqueta"
"Sends a Notification when a new Tag is received","Envia uma notificação SMS quando é submetida uma nova etiqueta"
"Contact","Contacto"
"Sends a new SMS Notification when a new contact from the contact-us page is made","Envia uma notificação SMS quando é submetido o formulário da página de contactos"
"Daily Report By SMS","Enviar relatório diário por SMS"
"Enable","Ativar"
"Reports sent are form the previous day","Os relatórios enviados referem-se ao dia anterior"
"Send Report Time:","Hora Envio Relatório:"
"Account - New","Conta - Nova"
"Campaign - Open","Campanha - Abertura"
"Campaign - Clicked Any Campaign Link","Campanha - Clique em qualquer ligação"
"Campaign - Clicked Specific Campaign Link","Campanha - Clique numa ligação específica"
"Search - New","Pesquisa - Nova"
"Order - New Order","Encomenda - Nova Encomenda"
"Order - Bought Specific Product","Encomenda - Comprou produto específico"
"Order - Order Status Changes","Encomenda - Estado Encomenda Alterado"
"Yearly","Anualmente"
"Sunday","Domingo"
"Monday","Segunda"
"Tuesday","Terça"
"Wednesday","Quarta"
"Thursday","Quinta"
"Friday","Sexta"
"Saturday","Sábado"
"January","Janeiro"
"February","Fevereiro"
"March","Março"
"April","Abril"
"May","Maio"
"June","Junho"
"July","Julho"
"August","Agosto"
"September","Setembro"
"October","Outubro"
"November","Novembro"
"December","Dezembro"
"Specific Day","Dia específico"
"On the %s %s of the month","No %s %s do mês"
"On the last %s of the month","No(a) último(a) %s do mês"
"Last Day of the Month ","Último dia do mês"
"Dynamic Day","Dia Dinâmico"
"An error occurred while trying to send a campaing.","Ocorreu um erro ao tentar enviar a campanha."
"E-Goi service response: %s","Resposta do serviço E-Goi: %s"
"Data sent to E-GOi:","Data enviada para E-Goi:"
"Campaign Report: ERROR","Relatório Campanha: Erro"
"Magento E-Goi Extension","Extensão Magento E-Goi"
"Mag report: %s; ","Relatório: %s"
"Didn't Open the Message","Não abriu a Mensagem"
"Open the Message","Abriu a Mensagem"
"Didn't click the Message","Não clicou na Mensagem"
"Click the Message","Clicou na Mensagem"
"No Conversion","Sem conversão"
"Converted","Com conversão"
"Used For Customer SMS Notifications","Utilizado para notificar Clientes por SMS"
"Your background data sync updates have finished.","A sincronização de dados foi finalizada"
"Your background segments updates have finished. Click <a href=""%s"">here</a> to view the results","Os segmentos que estavam a ser atualizados em segundo plano terminaram. Clique <a href=""%s"">aqui</a> para ver os resultados"
"New contact submission. From: %s. Email: %s. Store: %s","Nova submissão de contacto: From: %s. Email: %s. Loja: %s"
"New tag submitted: %s. Store: %s","Nova Etiquete submetida: %s. Loja: %s"
"New review from %s. Store: %s. Title: %s","Nova análise de %s. Loja: %s. Título: %s"
"New order for: %s. Order total: %s. Base subtotal: %s","Nova encomenda para: %s. Total: %s. Subtotal: %s"
"Products Attributes","Atributos de Produtos"
"Related Products From Last Completed Order","Produtos relacionados da encomenda anterior"
"Related Products From Previous Completed Orders","Produtos relacionados de encomendas anteriores"
"Products In Abandoned Cart","Produtos abandonados no carrinho"
"Categories Views","Visualizações Categorias"
"Wishlist Items","Itens nos Favoritos"
"Product Views","Visualizações de Produtos"
"Recent Added","Adicionados Recentemente"
"Days with an abandoned cart","Dias com carrinho abandonado"
"Days to anniversary","Dias para o aniversário"
"Customer Age","Idade Cliente"
"Days with a pending payment for an order","Dias com pagamento pendente de encomenda"
"Days since last complete order","Dias desde a última encomenda finalizada "
"Days since first complete order","Dias desde a primeira encomenda finalizada"
"Days since last review","Dias desde a última anºalise"
"Days since last product tagged","Dias desde o último produto etiquetado"
"Days since account creation","Dias desde criação conta"
"Number of Reviews","Número de análises"
"Number of Tags","Número de Etiquetas"
"Number of Completed Orders","Número de Encomendas finalizadas"
"Percentage of Completed Orders","Percentagem de Encomendas Finalizadas"
"Lifetime Sales Amount","Montante Total Encomendas"
"Lifetime Sales Average","Média Global Montante Encomendas"
"Percentage of Global Average Order Amount","Percentagem Média Global Montante Encomenda"
"Subtotal","Subtotal"
"Total Items Quantity","Qtd. Total Itens"
"Total Weight","Peso Total"
"Payment Method","Método de Pagamento"
"Shipping Method","Método de Envio"
"Shipping Postcode","Código Postal Envio"
"Shipping Region","Região Envio"
"Shipping State/Province","Estado/Província Envio"
"Shipping Country","País de Envio"
"Ordered Date","Data Encomenda"
"Conditions Combination","Combinação de Condições"
"Customer Attribute","Atributo Cliente"
"Customer Activity","Atividade Cliente"
"Newsletter Activity","Atividade Newsletter"
"Previous Order - Cart Attribute","Encomendas Anteriores - Atributo Carrinho"
"Previous Order - Product Attribute","Encomendas Anteriores - Atributos Produto"
"Attribute Set","Grupo de Atributos"
"Category","Categoria"
"Percentage of Clicks Vs Opens","Percentagem de Cliques Vs Abertos"
"Percentage of Clicks Vs Sent","Percentagem de Cliques Vs Enviados"
"Percentage of Opens Vs Sent","Percentagem de Aberturas Vs Enviados"
"Percentage Conversions Vs Sent","Percentagem de Conversões Vs Enviados"
"Conversions Amount","Montante das Conversões"
"Conversions Number","Número Conversões"
"Quantity in cart","Qtd no carrinho"
"Price in cart","Preço no carrinho"
"Row total in cart","Total Linha Carrinho"
"-- None --","-- Nenhum --"
"Manually","Manualmente"
"-- Please Choose --","-- Por Favor Selecione --"
"Account Data","Dados Conta"
"Extension News","Novidades Extensão"
"Extension Info","Informação Extensão"
"Current Version","Versão Atual"
"Latest Version","Mais Recente"
"You are running an outdated version of this extension. Please update as soon as possible.","Está a utilizar uma versão desatualizada da extensão. Por favor atualize-a assim que possível."
"You are running the latest version of this extension.","Está a utilizar a última versão da extensão"
"Informations/Requests","Informações/Pedidos"
"Click <a href=""%s"">here</a> to submit a bug report or an information request","Clique <a href=""%s"">aqui</a> para enviar relatório ou pedido de informação "
"Sync Data","Sincronizar Dados"
"Click here to sync Mage/E-Goi data now.","Clique aqui para sincronizar dados entre o Magento e a E-Goi"
"This proccess may take a few minutes","Este processo pode demorar alguns minutos"
"Brougth to you by: Licentia.pt","Desenvolvido por: Licentia.pt"
"images/fidelitas/logo.png","images/fidelitas/logo.png"
"Licentia Logo","Logótipo Licentia"
"If you already have an E-Goi account please ","Se já tem uma conta E-Goi"
"Existing E-Goi Customers","Cliente E-Goi existente"
"How to add a new sender","Como adicionar novo remetente"
"To add senders to your account please login into your E-Goi account and navigate to 'MY ACCOUNT'/'SENDERS'/'ADD SENDER'. After that click %s to test again","Para adicionar remetentes por favor inicie sessão na sua conta E-Goi e vá a ""Minha Conta""/""Remetentes""/""Adicionar Remente"". Depois disso clique %s para testar novamente"
"Load template","Carregar Modelo"
"Template","Modelo"
