"# of Use","# Usado"
"%1$s incl tax.","%1$s com imposto."
"%s - %s","%s - %s"
"%s Item(s)","%s Item(ns)"
"%s and above","%s e superior"
"%s-%s of %s","%s-%s de %s"
"An invalid option ID is specified for %s (%s), skipping the record.","Foi especificada um valor de opção inválida para %s (%s), ignorando o registo."
"An invalid store was specified.","Foi especifica uma loja inválida"
"Anchor Custom Text","Texto Personalizado da Âncora"
"Anchor Custom Title","Título Personalizado da Âncora"
"Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes.","Apenas aplicável aos produtos e categorias. Qualquer média será inserido no editor como ligação estática. Não será alterada se a URL base do sistema for alterada."
"Apply MAP (Default Value)","Aplicar PMA (Valor por Omissão)"
"Apply To","Aplicar a"
"Approved","Aprovado"
"Are you sure you want to delete this category?","Tem a certeza que deseja remover esta categoria?"
"Are you sure you would like to remove all products from your comparison?","Tem a certeza que deseja remover todos os produtos para comparação?"
"Are you sure you would like to remove this item from the compare products?","Tem a certeza que deseja remover este item da sua lista de comparação?"
"Are you sure?","Tem a certeza?"
"As low as:","A partir de:"
"Assign","Associar"
"Assign product link","Associar link do produto"
"Assign product to category","Associar produto a categoria"
"Assigned Products","Produtos Associados"
"Associated Products","Produtos Associados"
"Attrib. Set Name","Nome Grupo Atr."
"Attribute ""%s"" is invalid.","O atributo ""%s"" é inválido."
"Attribute ""%s"" is required.","O atributo ""%s"" é obrigatório."
"Attribute Information","Informação do atributo"
"Attribute Model","Modelo de Atributo"
"Attribute Name:","Nome do Atributo:"
"Attribute Set","Grupo de Atributos"
"Attribute Sets","Grupo de Atributos"
"Attribute add","Adicionar atributo"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Código Atributo inválido. Por favor utilize apenas letras (a-z), números (0-9)  ou sublinhado (_) neste campo. O primeiro carácter deve ser uma letra."
"Attribute group with the \/name/\"" name already exists""","Já existe um grupo de atributos com o mesmo nome"
"Attribute remove","Remover atributo"
"Attribute with the same code already exists","Já existe um atributo com o mesmo código"
"Attributes","Atributos"
"Attrribute names can be specified per store.","Nomes de atributos podem ser especificados por loja."
"Autogenerate","Gerar automaticamente"
"Availability:","Disponibilidade:"
"Back","Voltar"
"Backend Model","Modelo Administrativo"
"Backend Table","Tabela administrativa"
"Backend Table Title","Título da Tabela Administrativa"
"Backorders","Encomendas em produção"
"Base Image Width","Largura Imagem Base"
"Based On","Baseado em"
"Before Order Confirmation","Antes de Confirmação Encomenda"
"Best Value","Melhor valor"
"Block after Info Column","Bloco após a Coluna Info"
"Bottom Block Options Wrapper","Opções Invólucro para o Bloco Inferior"
"Bottom/Left","Inferior/esquerdo"
"Bottom/Right","Inferior/direito"
"Browse By","Navegar Por"
"Bundle Items","Pacote de Produtos"
"Buy %1$s","Compre %1$s"
"Buy %1$s for","Compre %1$s por"
"Buy %1$s for %2$s","Compre %1$s por %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Compre %1$s por %2$s (%3$s inc. imposto) cada"
"Buy %1$s for %2$s each","Compre %1$s por %2$s cada"
"Cache Lifetime (Seconds)","Tempo de Vida do Cache (Segundos)"
"Cache refresh needed.","Atualização de Cache Necessária."
"Can be Divided into Multiple Boxes for Shipping","Pode ser dividido em múltiplas caixas para envio"
"Can be used only with catalog input type Dropdown","Apenas pode ser usado com o tipo de entrada Menu de Seleção no Catálogo"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Apenas pode ser usado com o tipo de entrada Menu de Seleção no Catálogo, Select múltiplo e Preço"
"Can\'t create image.","Não é possível criar a imagem"
"Cancel","Cancelar"
"Cannot create image.","Não foi possível criar a imagem."
"Cannot create writeable directory '%s'.","Não foi possível criar o diretório com permissões de escrita '%s'."
"Cart Item Attribute","Atributo item carrinho"
"Catalog","Catálogo"
"Catalog Category (Anchor)","Categoria do Catálogo (Âncora)"
"Catalog Category (Non-Anchor)","Categoria do Catálogo (Não-Âncora)"
"Catalog Category (Without Subcategories)","Catálogo Categoria (Sem Subcategorias)"
"Catalog Category Link","Ligação para Categoria do Catálogo"
"Catalog New Products List","Catálogo - Lista de Novos Produtos"
"Catalog Price Scope","Âmbito do Preço no Catálogo"
"Catalog Product Compare List","Catálogo Produto Lista de Comparação"
"Catalog Product Email to a Friend","Enviar Produto do Catálogo a um Amigo por Email"
"Catalog Product Image Gallery Popup","Catálogo Produto Janela de Visualização de Galeria"
"Catalog Product Link","Ligação para o Catálogo"
"Catalog Product View (Any)","Catálogo Produto Visualizar (Qualquer)"
"Catalog Product View (Configurable)","Catálogo Produto Visualizar (Configurável)"
"Catalog Product View (Grouped)","Catálogo Produto Visualizar (Grupo)"
"Catalog Product View (Simple)","Catálogo Produto Visualizar (Simples)"
"Catalog Product View (Virtual)","Catálogo Produto Visualizar (Virtual)"
"Catalog Section","Secção de Catálogo"
"Catalog Seo Sitemap (Category List)","Catálogo Seo Mapa Sitio (Lista Categorias)"
"Catalog Seo Sitemap (Category Tree)","Catálogo Seo Mapa Sítio (Árvore Categorias)"
"Catalog Seo Sitemap (Common)","Catálogo Seo Mapa Sítio (Comum)"
"Catalog Seo Sitemap (Product List)","Catálogo Seo Mapa Sítio (Listagem Produtos)"
"Catalog URL Rewrites","Catálogo URL Rescritas"
"Catalog product custom option values API","Valores de opções personalizadas de API para catálogo de produtos"
"Catalog product custom options API","Opções personalizadas de API para catálogo de produtos"
"Catalog, Search","Catálogo, Pesquisa"
"Categories","Categorias"
"Categories Sitemap","Mapa do Sítio das Categorias"
"Category","Categoria"
"Category API","API Categoria"
"Category Data","Dados da Categoria"
"Category Flat Data","Categoria Dados Fixos"
"Category Link Block Template","Categoria Ligação Modelo Bloco"
"Category Link Inline Template","Categoria Ligação Modelo Local"
"Category Products","Produtos na Categoria"
"Category Top Navigation","Categoria Topo de Navegação"
"Category URL Suffix","Sufixo URL da Categoria"
"Category attributes API","Atributos da categoria API"
"Category move error","Erro ao mover categoria"
"Category move error %s","Erro mover categoria: %s"
"Category move operation is not possible: parent category is equal to child category.","Não foi possível mover a categoria. A categoria superior é igual à categoria a ser movida."
"Category move operation is not possible: the current category was not found.","Não foi possível mover a categoria. A categoria atual não foi encontrada."
"Category move operation is not possible: the new parent category was not found.","Não foi possível mover a categoria. A nova categoria mãe não foi encontrada"
"Category must be an instance of Mage_Catalog_Model_Category.","A categoria tem que ser uma instância de Mage_Catalog_Model_Category."
"Center","Centro"
"Change","Alterar"
"Change or Retrieve attribute store view","Alterar ou obter atributo da vista de loja"
"Change status","Alterar Estado"
"Check items to add to the cart or","Selecione os itens para adicionar ao carrinho ou"
"Choose an Option...","Escolha uma opção..."
"Clear All","Limpar tudo"
"Clear Price","Esvaziar Preço"
"Click for price","Clique para preço"
"Close Window","Fechar janela"
"Collapse All","Fechar tudo"
"Comma-separated.","Separados por vírgula."
"Comparable","Comparável"
"Comparable on Front-end","Comparável na Loja"
"Comparable on the Frontend","Comparável na Loja"
"Compare","Compare"
"Compare Products","Comparar Produtos"
"Conditions Combination","Combinação de Condições"
"Configurable Product","Produto Configurável"
"Configurable Product Settings","Opções de produtos configuráveis"
"Configure Product","Configurar Produto"
"Continue","Continuar"
"Copy From Configurable","Copiar de Produto Configurável"
"Country/State","País/Estado"
"Create","Criar"
"Create (Upload)","Criar (carregar)"
"Create Empty","Criar Vazio"
"Create Permanent Redirect for URLs if URL Key Changed","Criar redirecionamento permanente para URL's se a chave URL se alterou"
"Create Permanent Redirect for old URL","Criar Redirecionamento para uma URL não usada"
"Create Product Settings","Opções de Criação de Produto"
"Create Simple Associated Product","Criar um Produto Associado Simples"
"Create attribute set based on another set","Criar grupo de atributos baseado num outro grupo de atributos"
"Create new attribute","Criar novo atributo"
"Create new category","Criar nova categoria"
"Create new product","Criar novo produto"
"Cross-sells","Vendas Cruzadas"
"Currently Shopping by:","Atualmente a Comprar por:"
"Custom Design","Desenho Personalizado"
"Custom Options","Opções personalizadas"
"Custom options","Opções Personalizadas"
"Customer Group","Grupo do Cliente"
"Customers Reviews","Análises dos clientes"
"Customers Tagged Product","Produtos etiquetados pelos Clientes"
"Data Type for Saving in Database","Tipo de Dados para guardar na Base de Dados"
"Date & Time Custom Options","Personalizar opções de Data/Hora"
"Date Fields Order","Ordem dos campos da data"
"Date Subscribed","Data subscrição"
"Datetime","Datahora"
"Decimal","Décimal"
"Declare attribute value saving scope","Definir o âmbito do valor a ser guardado"
"Default ""What's This"" Text Message","Texto por Omissão na Mensagem ""O que é isto?"""
"Default Popup Text Message","Mensagem de Texto por Omissão na popup"
"Default Price","Preço por Omissão"
"Default Price Navigation Step","Preço por Omissão na Navegação por Passos"
"Default Qty","Qt. por omissão"
"Default Values","Valores por Omissão"
"Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Define o âmbito da moeda base (""Moeda"" > ""Opções Moeda"" > ""Moeda Base"")"
"Delete","Remover"
"Delete Attribute","Remover Atributo"
"Delete Attribute Set","Remover Grupo de Atributos"
"Delete Category","Remover Categoria"
"Delete Group Price","Remove Preço Grupo"
"Delete Option","Remover Opção"
"Delete Row","Remover linha"
"Delete Search","Remover Pesquisa "
"Delete Selected Group","Remover Grupo Selecionado"
"Delete Tier","Remover Desconto Quantidade"
"Delete attribute","Remover Atributo"
"Delete category","Remover Categoria"
"Delete product","Remover produto"
"Depends on design theme","Depende do desenho do Tema"
"Description","Descrição"
"Design","Desenho"
"Details","Detalhes"
"Disabled","Inativo"
"Disallowed file type.","Tipo de ficheiro não permitido."
"Display Actual Price","Mostrar Preço Atual"
"Display Page Control","Mostrar Página Controlo"
"Display Price Interval as One Price","Mostrar Intervalo de Preço como Um Preço"
"Display Product Count","Mostrar Nº Produtos"
"Display Type","Tipo Mostragem"
"Display in Suggested Terms","Mostrar nos termos Sugeridos"
"Double click on a group to rename it","Duplo Clique num grupo para o renomear"
"Double click on above image to view full picture","Faça duplo clique na imagem para a ver na integra"
"Downloadable Information","Informação de Descarregamento"
"Duplicate","Duplicar"
"Duplicate website group price customer group.","Duplicar grupo de preços de grupo de cliente do site"
"Duplicate website tier price customer group and quantity.","Duplicar o desconto em quantidade do grupo de clientes e quantidade do site"
"Duplicate website, country and state tax found.","Foi encontrado um duplicado de Imposto para sítio, país e estado"
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","Ex. {{media url=""caminho/para/igem.jpg""}} {{skin url=""caminho/para/figura.gif""}}. A análise de diretivas dinâmicas tem impacto na performance do catálogo."
"Edit","Editar"
"Edit Attribute Set '%s'","Editar grupo de atributos '%s'"
"Edit Product Attribute","Editar Atributo de Produto"
"Edit Product Attribute ""%s""","Editar Atributo de Produto ""%s"""
"Edit Search","Editar pesquisa "
"Edit Search '%s'","Editar Pesquisa '%s'"
"Edit Set Name","Editar Nome do Grupo"
"Email","Email"
"Email to a Friend","Enviar por email a um amigo"
"Empty","Vazio"
"Enable MAP","Ativar PMA"
"Enable Qty Increments","Ativar Múltiplos de Quantidade"
"Enable WYSIWYG","Ativar WYSIWYG"
"Enable for reindexing a big number of SKUs.","Ative para permitir reindexação de elevado número de SKUs"
"Enabled","Ativo"
"Error during retrieval of option value: %s","Erro durante a receção do valor da opção: %s"
"Exclude","Exclude"
"Expand All","Expandir tudo"
"Failed","Falhado"
"Failed to copy file %s. Please, delete media with non-existing images and try again.","Falha ao copiar o ficheiro. Por favor, remove média com imagens não existentes e tente novamente."
"Failed to move file: %s","Incapaz de mover o ficheiro: %s"
"Feature Products","Produtos em Destaque"
"Field is not complete","O campo não está completo"
"File options format is not valid.","Opções de formato do ficheiro inválida."
"File upload failed","O carregamento de ficheiro falhou"
"Filter","Filtrar"
"Filter model name must be declared.","O nome do modelo do filter tem que ser declarado."
"Filter must be an object. Please set correct filter.","O filtro tem de ser um objeto. Por favor, defina o filtro correto."
"Filterable (no results)","Filtrável (sem resultados)"
"Filterable (with results)","Pesquisável (com resultados)"
"First Name","Primeiro Nome"
"Fixed","Fixo"
"For internal use.","Para uso interno."
"For the last time placed.","Para a última realização."
"Frontend","Loja"
"Frontend Model","Modelo de Interface de Utilizador"
"Frontend Properties","Propriedades da Interface do Utilizador"
"Gallery","Galeria"
"General Information","Informação Geral"
"Get full information about attribute with list of options","Obter informação completa sobre atributos com lista de opções"
"Get full information about custom option in product","Obter informação completa sobre opções personalizadas no produto"
"Get list of available custom option types","Obter lista de tipos de opções personalizadas"
"Get list of non-default attributes by product type and attributes set","Obter lista de atributos não definidos por omissão, por tipo de produto e grupo de atributos"
"Get list of possible attribute types","Obter uma lista de possíveis tipos de atributos"
"Get special price","Obtenha preço especial"
"Global","Global"
"Globally Editable","Editável Globalmente"
"Go to Home Page","Ir para a Página Inicial"
"Grid","Grelha"
"Group add","Adicionar Grupo"
"Group remove","Remover Grupo"
"Grouped Product","Grupo de Produtos"
"Groups","Grupos"
"Home","Início"
"ID","ID"
"ID: %s","ID: %s"
"If empty, the Category Name will be used","Se vazio, será utilizado o Nome da Categoria"
"If empty, the Product Name will be used","Se o campo não estiver preenchido, será utilizado o Nome do Produto."
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Se não definir um valor para a opção de uma loja específica o valor por omissão (Admin) será utilizado"
"Image","Imagem"
"Image content is not valid base64 data.","O Conteúdo da imagem não é base64 válido"
"Image does not exist.","A imagem não existe."
"Image file was not found.","A imagem não foi encontrada"
"Image type and information need to be specified for each store view.","O tipo de imagem e informação necessita de ser especificado para cada Vista de Loja"
"In Cart","No Carrinho"
"In Stock","Disponível"
"In stock","Disponível"
"Incl. Tax","Com Imposto"
"Index product and categories URL rewrites","Índice de rescritas de produtos e categorias"
"Index product attributes for layered navigation building","Índice de atributos de produtos para navegação por atributos a ser construído"
"Index product prices","Indexar preços dos produtos"
"Indexed category/products association","Indexado a associação categoria/produtos"
"Info","Info"
"Info Column Options Wrapper","Opções Invólucro para o Bloco Informação"
"Input Type","Tipo de Entrada"
"Integer","Inteiro"
"Interval Division Limit","Limite Intervalo de Divisão"
"Invalid Tier Prices","Descontos por quantidade inválidos"
"Invalid attribute %s","Atributo inválido %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Opção para o atributo especificada inválida %s (%s), ignorando o registo."
"Invalid attribute set specified, skipping the record.","Grupo de Atributos especificado inválido, a ignorar o registo."
"Invalid block: %s.","Bloco Inválido: %s."
"Invalid category IDs.","Id's de Categoria Inválidos."
"Invalid category.","Categoria inválida."
"Invalid image file type.","Tipo de imagem inválido."
"Invalid image type.","Tipo de imagem inválido."
"Invalid option ID specified for %s (%s), skipping the record.","ID opção inválida especificada %s (%s), ignorando o registo."
"Invalid product type specified, skipping the record.","Tipo de produto especificado inválido, ignorando o registo."
"Invalid store specified","Loja especificada inválida"
"Invalid store specified, skipping the record.","Loja especificada inválida, a ignorar o registo."
"Invalid tier prices. The product is not associated to the requested website.","Preços de desconto em quantidade inválidos. O produto não está associado com o site pedido."
"Inventory","Inventário"
"Is Default","É valor por omissão"
"Is Required","É obrigatório"
"Items %s to %s of %s total","Itens %s a %s de um total de %s"
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.","Itens que não deseja mostrar no catálogo ou nos resultados de pesquisa devem ser marcados com o Estado ""Inativo"" na loja pretendida."
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Os itens que não deseja mostrar no catálogo ou nos resultados da pesquisa devem ter o estado 'Desativado' na Loja desejada"
"Keep your eyes open for our special Back to School items and save A LOT!","Keep your eyes open for our special Back to School items and save A LOT!"
"Label","Legenda"
"Last Name","Apelido"
"Last Notification","Última Notificação"
"Layered Navigation","Navegação Por Atributos"
"Learn More","Mais informação"
"Line %d, Email: %s","Linha %s, Email: %s"
"Line %d, SKU: %s","Linha %s, SKU: %s"
"Link (Related, Up sell, Cross sell)","Link(Relacionados, Vendas Superiores, Vendas Cruzadas )"
"Link product does not exist.","Não existe link para o produto."
"Link to a Specified Category","Ligar a uma Categoria Específica"
"Link to a Specified Product","Ligar a um Produto Específico"
"List","Lista"
"List Mode","Modo Lista"
"List of Products that are set as New","Lista de Produtos marcados como Novo"
"List of types","Lista de tipos"
"Manage Attribute Sets","Gerir Grupos de Atributos"
"Manage Attributes","Gerir Atributos"
"Manage Catalog Categories","Gerir Categorias do Catálogo"
"Manage Categories","Gerir Categorias"
"Manage Label / Options","Gerir Rótulo / Opções"
"Manage Options (values of your attribute)","Gerir Opções (Valores do seu atributo)"
"Manage Product Attributes","Gerir Atributos do Produto"
"Manage Product Sets","Gerir Grupos de Atributos"
"Manage Products","Gerir Produtos"
"Manage Stock","Gerir Stock"
"Manage Titles (Size, Color, etc.)","Gerir Títulos (tamanho, cor, etc.)"
"Max Characters","Max. Caracteres"
"Maximal Depth","Profundidade máxima"
"Maximum Image Size","Tamanho máximo imagem"
"Maximum Number of Price Intervals","Número Máximo de Intervalos de Preço"
"Maximum Qty Allowed in Shopping Cart","Qt. Máxima Permitida no Carrinho de Compras"
"Maximum allowed image size for '%s' is %sx%s px.","O tamanho máximo permitido para a imagem '%s' é %sx%s px."
"Maximum image height","Altura máxima imagem"
"Maximum image width","Largura máxima imagem"
"Maximum number of characters:","Número máximo de caracteres"
"Maximum number of price intervals is 100","Número Máximo de Intervalos de Preço é 100"
"Maximum width base product image will be scaled down to in pixels","Largura máxima da imagem base produto será reduzida em pixeis "
"Maximum width small product image will be scaled down to in pixels","Largura máxima da imagem pequena produto será reduzida em pixeis "
"Media Image","Imagem Media"
"Minimum Advertised Price","Preço Mínimo Anunciado"
"Minimum Lines per Page","Número mínimo de linhas por página"
"Minimum Qty Allowed in Shopping Cart","Qt. Mínima Permitida no Carrinho de Compras"
"Minimum Qty for Item\'s Status to be Out of Stock","Qtd, mínima para o estado do item ser Indisponível"
"Missing SKU, skipping the record.","SKU não encontrado, ignorando o registo."
"More Views","outras imagens do produto"
"Move","Mover"
"Move category in tree","Mover categoria na listagem"
"Must be in the allowed values list.","Tem que estar na lista de valores permitidos."
"My Account","A Minha Conta"
"N/A","N/D"
"Name","Nome"
"Name in %s","Nome em %s"
"New Product","Novo Produto"
"New Product Attribute","Novo atributo de produto"
"New Products","Novos Produtos"
"New Products Grid Template","Modelo de Grelha de Novos Produtos"
"New Products List Template","Modelo Listagem de Novos Produtos"
"New Root Category","Nova Categoria-Principal"
"New Search","Nova pesquisa "
"New Set Name","Novo Nome Grupo"
"New Subcategory","Nova Subcategoria"
"New products","Novos produtos"
"Next","Seguinte"
"No","Não"
"No image","Sem Imagem"
"No layout updates","Sem atualizações à Apresentação"
"No options of this product are available.","Não existem opções disponíveis para este produto"
"No product collections found.","Não foram encontradas coleções de produtos."
"None","Nenhum"
"Not Visible Individually","Invisível individualmente"
"Notify Low Stock RSS","Notificação de baixa disponibilidade por RSS"
"Notify for Quantity Below","Notificar para quantidade abaixo"
"Number of Products per Page","Número de Produtos por Página"
"Number of Products to Display","Número de Produtos a Mostrar"
"Number of Uses","Número de utilizações"
"Number of results","Número de resultados"
"Number of results (For the last time placed)","Número de resultados (Para a última colocação)"
"OK","OK"
"OR","OU"
"Old Price:","Preço antigo:"
"On Gesture","Por Gesto"
"Option validation failed to add product to cart.","Falha na validação de opção ao adicionar o produto ao carrinho."
"Option values","Valores de opções"
"Option:","Opção:"
"Options","Opções"
"Options Control","Controlo de Opções"
"Options is required","Opções são obrigatórias"
"Our customer service is available 24/7. Call us at (555) 555-0123.","O nosso suporte está disponível 24/7"
"Out of Stock","Indisponível"
"Out of stock","Indisponível"
"PM","PM"
"Page Title Separator","Separador do Título da Página"
"Parent Category","Categoria Superior"
"Pending","Pendente"
"Pending Reviews RSS","Análises Pendentes RSS"
"Percentage","Percentagem"
"Please add rows to option.","Por favor adicione linhas à opção"
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Tenha atenção ao clicar na linha, já que irá carregar a informação do ficheiro selecionado e todos os dados não guardados serão perdidos"
"Please click on the Close Window button if it is not closed automatically.","Clique por favor em Fechar janela se esta não se fechar automaticamente."
"Please enter a new group name","Por favor insira um nome do grupo"
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -&gt; <a href=""%s"">Index Management</a>","Por favor atualize ""Rescritas de URL Catálogo"" e ""Atributos de Produtos "" em Sistema > <a href=""%s"">Gestão Índice</a>"
"Please select a static block ...","Por favor selecione um bloco estático"
"Please select items.","Por favor selecione os itens."
"Please select one or more attributes.","Por favor selecione um ou mais atributos"
"Please select product(s).","Por favor selecione o(s) produto(s)"
"Please select products for attributes update","por favor selecione os produtos para atualiza de atributos"
"Please specify date required option(s).","Por favor especifique opções de data obrigatória"
"Please specify the number of products, that will not be divided into subintervals.","Por favor especifique o número de produtos, que não serão divididos em sub-intervalos."
"Please specify the product required option(s)","Por favor especifique as opções obrigatórias do produto"
"Please specify the product required option(s).","Por favor especifique a(s) opção(ões) obrigatória(s) do produto"
"Please specify the product\'s option(s).","Por favor especifique as opções do produto"
"Please specify the product\'s required option(s).","Por favor especifique as opções obrigatórias do produto"
"Please specify the quantity of product(s).","Por favor, especifique a quantidade de produtos"
"Please specify time required option(s).","Por favor especifique opções de tempo obrigatória"
"Please wait...","Por favor aguarde..."
"Position","Posição"
"Position in Layered Navigation","Posição na Navegação por Atributos"
"Position of attribute in layered navigation block","Posição do atributo no bloco da navegação por atributos"
"Prev","Ant."
"Previous","Anterior"
"Price","Preço"
"Price Navigation Step Calculation","Cálculo do Preço de Navegação por Passos"
"Price Type","Tipo Preço"
"Price is not available","Preço não disponível"
"Price values for options should be specified in system base currency.","Os valores de preços para as opções devem ser especificados em sistema moeda base"
"Price:","Preço:"
"Price: %s","Preço: %s"
"Print This Page","Imprimir esta página"
"Product","Produto"
"Product API","API Produto"
"Product Alerts","Alertas de Produto"
"Product Attribute","Atributo do Produto"
"Product Attributes","Atributos do produto"
"Product Categories","Categorias de produto"
"Product Description","Descrição do Produto"
"Product Extra Info","Informação Extra do produto"
"Product Flat Data","Dados Fixos Produto"
"Product ID","ID do Produto"
"Product Image","Imagem Produto"
"Product Image Placeholders","Sinalizadores de Imagens de Produtos"
"Product Image Watermarks","Sinalizadores de Marcadas de água de Produtos"
"Product Images","Imagens do Produto"
"Product Images API","API Imagens do Produto"
"Product In Websites","Produto nos Sites"
"Product Info Column","Coluna de Informação do Produto"
"Product Information","Informação do Produto"
"Product Link Block Template","Produto Ligação Bloco Modelo"
"Product Link Inline Template","Produto Ligação Modelo Local"
"Product Listing Sort by","Ordenar a visualização de produtos por"
"Product Name","Nome Produto"
"Product Prices","Preços dos produtos"
"Product Reviews","Análises ao Produto"
"Product Tags","Etiquetas de Produtos"
"Product Tier Price API","API Descontos em quantidade do produto"
"Product Type","Tipo de Produto"
"Product URL Suffix","Sufixo URL do produto"
"Product View Extra Hint","Produto Visualizar Sugestão Extra"
"Product attribute sets API","API do grupo de atributos do produto"
"Product attributes API","API de atributos do produto"
"Product collection expected.","Espera coleção de produto"
"Product is not loaded","O produto não está carregado"
"Product links API (related, cross sells, up sells)","API de links do produto (Relacionados, Vendas Superiores, Vendas Cruzadas )"
"Product types API","API dos tipos de produtos"
"Product with this combination of attributes already associated to configurable.","Já existe um produto com esta combinação de atributos associado a um configurável."
"Products","Produtos"
"Products Comparison List","Lista de Comparação de Produtos"
"Products Information","Informação dos Produtos"
"Products Reviews","Análises de produtos"
"Products Sitemap","Mapa do Sítio dos Produtos"
"Products only","Apenas produtos"
"Products per Page on Grid Allowed Values","Produtos por página na Grelha de valores permitidos"
"Products per Page on Grid Default Value","Produtos por página por omissão na Vista em grelha"
