"Cart","Carrinho"
"Cart Product API","API Produto Carrinho"
"Cart Subtotal:","Subtotal Carrinho"
"Change","Alterar"
"Change Billing Address","Alterar Endereço de faturação"
"Checkbox Text","Texto da caixa de seleção"
"Checkout","Finalizar Encomenda"
"Checkout Conditions","Condições de envio"
"Checkout Forms Extra","Extra Formulário Finalização Encomenda"
"Checkout Method","Método de Finalização Encomenda"
"Checkout Options","Opções Finalização Encomenda"
"Checkout Progress Wrapper","Progresso de Finalização Encomenda"
"Checkout Section","Secção de Finalização de Encomenda"
"Checkout Terms and Conditions","Condições e Termos de Envio"
"Checkout as Guest","Finalizar encomenda como convidado"
"Checkout as a Guest or Register","Finalizar encomenda como convidado ou registar-se"
"Checkout with Multiple Addresses","Finalizar encomenda com múltiplos endereços"
"City","Cidade"
"Clear Shopping Cart","Esvaziar Carrinho de Compras"
"Click <a href=""%s"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation.","Clique <a href=""%s"" onclick=""this.target=\'_blank\'"">aqui para imprimir</a> uma cópia da confirmação da encomenda."
"Click <a href=""%s"">here</a> to continue shopping.","Clique <a href=""%s"">aqui</a> para continuar as suas compras."
"Close","Fechar"
"Company","Empresa"
"Condition Name","Nome da Condição"
"Configurable Product Image","Imagem de produto configurável"
"Configure Cart Item","Configurar Item Carrinho"
"Confirm Password","Confirmar palavra-passe"
"Content","Conteúdo"
"Content Height","Altura do conteúdo"
"Content Height (css)","Altura do conteúdo (CSS)"
"Continue","Continuar"
"Continue Shopping","Continuar Compras"
"Continue to Billing Information","Continuar para informação de faturação"
"Continue to Review Your Order","Continuar para rever a sua encomenda"
"Continue to Shipping Information","Continuar para informações de envio"
"Country","País"
"Coupon code ""%s"" is not valid.","Código do Cupão ""%s"" inválido"
"Coupon code ""%s"" was applied.","O código ""%s"" do cupão foi utilizado."
"Coupon code was canceled.","O código do cupão foi cancelado."
"Create Billing Address","Criar Endereço de Faturação"
"Create Shipping Address","Criar Endereço de Envio"
"Create an order from shopping cart","Criar uma encomenda a partir do carrinho de compras"
"Create shopping cart","Criar Carrinho Compras"
"Customer Address is not valid.","Endereço do Cliente inválido"
"Customer Information","Informação Cliente"
"Customer's information","Informação Cliente"
"Data saving problem","Problema ao guardar dados"
"Default Billing","Endereço de Faturação por omissão"
"Default Shipping","Endereço de Envio por omissão"
"Delete Condition","Remover Condição"
"Details","Detalhes"
"Disabled","Inativo"
"Discount Codes","Códigos de desconto"
"Display Cart Summary","Mostrar Sumário Carrinho"
"Display Shopping Cart Sidebar","Mostrar Carrinho de Compras na barra lateral"
"Display item quantities","Mostrar Quantidades de Itens"
"Display number of items in cart","Mostrar número de itens no carrinho"
"Display number of items in wishlist","Mostrar número de itens nos Favoritos"
"Easy access to your order history and status","Acesso rápido à sua encomenda e histórico"
"Edit","Editar"
"Edit Address","Editar Endereço"
"Edit Billing Address","Editar Endereço de Faturação"
"Edit Condition","Editar Condição"
"Edit Items","Editar itens"
"Edit Shipping Address","Editar Endereço de Envio"
"Edit Terms and Conditions","Editar os Termos e Condições"
"Edit Your Cart","Edite o seu carrinho"
"Edit item","Editar Item"
"Edit item parameters","Editar parâmetros do item"
"Email Address","Endereço Email"
"Empty Cart","Esvaziar Carrinho"
"Empty Shopping Cart Content Before","Antes Esvaziar o Conteúdo Carrinho"
"Enable Onepage Checkout","Ativar Checkout de uma página"
"Enable Terms and Conditions","Ativar Termos e Condições"
"Enabled","Ativo"
"Enter a New Address","Insira um novo endereço"
"Enter your coupon code if you have one.","Insira o código do seu cupão se tem algum."
"Enter your destination to get a shipping estimate.","Insira o destino para receber uma estimativa de envio"
"Estimate","Estimativa"
"Estimate Shipping and Tax","Portes de Envio"
"Excl. Tax","Sem Imposto"
"Fast and easy check out","Finalizar a encomenda com maior rapidez e facilidade"
"Fax","Fax"
"Forgot an Item?","Esqueceu-se de um item?"
"Forgot your password?","Esqueceu-se da sua palavra-passe?"
"Get a Quote","Obter Valor"
"Get list of available payment methods","Obter lista de métodos de pagamento disponíveis"
"Get list of available shipping methods","Obter lista de métodos de envio disponíveis"
"Get list of products in shopping cart","Obter lista de produtos no carrinho de compras"
"Get terms and conditions","Obter termos e condições"
"Get total prices for shopping cart","Obter preços totais do carrinho de compras"
"Gift Message","Mensagem de Presente"
"Grand Total:","Total:"
"Grouped Product Image","Imagem de Produto em Grupo"
"HTML","HTML"
"ID","ID"
"Incl. Tax","Com Imposto"
"Invalid checkout type.","Tipo de Finalização de Encomenda inválido"
"Invalid data.","Data inválida."
"Invalid email address ""%s""","Endereço de email inválido ""%s"""
"Invalid method: %s","Método Inválido: %s"
"Invalid shipping method.","Método de Envio inválido"
"Item not found or already ordered","Item não encontrado ou já encomendado"
"Item was removed successfully.","Item removido com sucesso"
"Item was updated successfully.","Item atualizado com sucesso"
"Items","Itens"
"Items After","Itens Após"
"Items Before","Itens Antes"
"Load customer quote error","Carregar erro do cliente"
"Loading next step...","A carregar próximo passo..."
"Login","Iniciar Sessão"
"Login/Registration Before","Antes Registo/Início Sessão"
"Manage Terms and Conditions","Gerir Termos e Condições"
"Maximum Display Recently Added Item(s)","Número Máximo a Mostrar Itens Recentemente Adicionados"
"Maximum qty allowed for Shipping to multiple addresses is %s","A quantidade máxima permitida no carrinho para envios de múltiplos endereços é %s"
"Mini-cart promotion block","Bloco de promoção mini-carrinho"
"Minimum order amount is %s","O montante mínimo por encomenda é %s"
"Move","Mover"
"Move to Wishlist","Mover para Favoritos"
"Move to wishlist","Mover para Favoritos"
"Multishipping Checkout","Finalizar com Múltiplos Endereços"
"Multishipping Checkout Address (Any) Form","Finalizar com Múltiplos Endereços Endereço (Qualquer) Formulário"
"Multishipping Checkout Billing Address Creation","Finalizar com Múltiplos Endereços Faturação Endereço Criação"
"Multishipping Checkout Billing Address Edit Form","Finalizar com Múltiplos Endereços Faturação Endereço Formulário Edição"
"Multishipping Checkout Billing Address Selection","Finalizar com Múltiplos Endereços Faturação Endereço Seleção"
"Multishipping Checkout Billing Information Step","Finalizar com Múltiplos Endereços Faturação Informação Passo"
"Multishipping Checkout Customer Address Edit Form","Finalizar com Múltiplos Endereços Cliente Endereço Formulário Edição"
"Multishipping Checkout Overview","Finalizar com Múltiplos Endereços Visão Geral"
"Multishipping Checkout Shipping Address Creation","Finalizar com Múltiplos Endereços Envio Endereço Criação"
"Multishipping Checkout Shipping Address Edit Form","Finalizar com Múltiplos Endereços Envio Endereço Formulário Edição"
"Multishipping Checkout Shipping Address Selection","Finalizar com Múltiplos Endereços Envio Seleção Endereço"
"Multishipping Checkout Shipping Information Step","Finalizar com Múltiplos Endereços Envio Informação Passo"
"Multishipping Checkout Success","Finalizar com Múltiplos Endereços Sucesso"
"My Cart","O meu Carrinho"
"My Cart (%s item)","O meu Carrinho (%s item)"
"My Cart (%s items)","O meu Carrinho (%s itens)"
"My Cart Link","Ligação para o meu carrinho"
"New Address","Novo endereço"
"New Condition","Nova Condição"
"New Terms and Conditions","Novos Termos e Condições"
"No Payment Methods","Sem Métodos de Pagamento"
"ORDER TOTAL WILL BE DISPLAYED BEFORE YOU SUBMIT THE ORDER","O TOTAL DA ENCOMENDA SERÁ MOSTRADO ANTES DE SUBMETER A ENCOMENDA"
"One Page Checkout","Finalizar encomenda numa página apenas"
"One Page Checkout Failure","Falha na Finalização de Encomenda Em Página Única"
"One Page Checkout Overview","Visão Geral De Página Única de Finalização Encomenda"
"One Page Checkout Success","Sucesso na Finalização de Encomenda Em Página Única"
"One item of products do not have identifier or sku","Um dos produtos não tem sku definido"
"One item of products is not belong any of quote item","Um item dos seus produtos não pertence a nenhuma cotação"
"Order #","Encomenda #"
"Order Review","Rever Encomenda"
"Order Success","Compra efetuada com sucesso"
"Order place error.","Erro ao criar encomenda."
"Other Items in Your Order","Outros itens na sua Encomenda"
"Overview Items After","Após Visão Geral Itens"
"Password","Palavra-passe"
"Payment Failed Email Reciever","Destinatário de email na falha de pagamento"
"Payment Failed Email Sender","Remetente de email na falha de pagamento"
"Payment Failed Emails","Emails na falha de pagamento"
"Payment Failed Template","Template da falha de pagamento"
"Payment Information","Informação de Pagamento"
"Payment Method","Método de Pagamento"
"Payment Methods After","Após Métodos de Pagamento"
"Payment Methods After Checkout Button","Métodos de Pagamento depois do botão de Finalizar Encomenda"
"Payment Methods Before","Antes Métodos Pagamento"
"Payment Methods Before Checkout Button","Métodos de Pagamento antes do botão de Finalizar Encomenda"
"Payment method information","Informação método pagamento"
"Payment method is not defined","O método de pagamento não está definido"
"Payment methods in shopping cart","Métodos de pagamento no carrinho de compras"
"Payment profile # %s: ""%s"".","Perfil Pagamento: # %s: ""%s""."
"Place Order","Encomendar"
"Please agree to all Terms and Conditions before placing the order.","Por favor concorde com todos os termos antes de finalizar a sua encomenda"
"Please agree to all Terms and Conditions before placing the orders.","Por favor concorde com todos os termos antes de finalizar a sua encomenda"
"Please agree to all the terms and conditions before placing the order.","Por favor, concorde com todos os termos e condições antes de colocar a encomenda."
"Please check billing address information.","Por favor verifique a informação do endereço de faturação."
"Please check shipping address information.","Por favor verifique a informação do endereço de envio."
"Please check shipping addresses information.","Por favor verifique a informação dos endereço sde envio."
"Please choose to register or to checkout as a guest","Por escolha finalizar a encomenda como convidado ou utilizador registado"
"Please log in below:","Por favor inicie sessão abaixo"
"Please select region, state or province","Por favor selecione a região, estado ou província"
"Please select shipping address for applicable items","Por favor selecione os endereços de envio para os itens aplicáveis"
"Please select shipping methods for all addresses","Por favor selecione o método de envio para todos os endereços"
"Please select valid payment method.","Por favor selecione um método de pagamento válido."
"Please specify payment method.","Por favor especifique um método de pagamento."
"Please specify shipping method.","Por favor especifique um método de envio."
"Please specify shipping methods for all addresses.","Por favor especifique métodos de envio para todos os endereços."
"Price","Preço"
"Proceed to Checkout","Finalizar Encomenda"
"Product","Produto"
"Product Name","Nome Produto"
"Products","Produtos"
"Qty","Qt"
"Qty:","Qtd:"
"Quantity","Quantidade"
"Quantity was recalculated from %d to %d","A quantidade foi recalculada de %d para %d"
"Quote Lifetime (days)","Validade carrinho (dias)"
"Quote item does not exist.","Item não existe"
"Quote item is not found.","Item de cotação não encontrado"
"Recently added item(s)","Item(ns) recentemente adicionados"
"Register","Registar"
"Register and save time!","Registe-se e torne tudo mais rápido"
"Register to Create an Account","Registe-se para criar uma conta"
"Register with us for future convenience:","Registe-se para futura conveniência"
"Remove Item","Remover item"
"Remove This Item","Remover Este Item"
"Remove coupon code from shopping cart","Remover código cupão do carrinho de compras"
"Remove item","Remover Item"
"Remove product from shopping cart","Remover produto do carrinho de compras"
"Remove product(s) from shopping cart","Remover produto(s) do carrinho de compras"
"Require Customer To Be Logged In To Checkout","Requerer que o cliente tenha sessão iniciada na finalização de encomenda."
"Retrieve information about shopping cart","Obter informação sobre o carrinho de compras"
"Review Order","Rever Encomenda"
"Review Order - %s","Rever Encomenda - %s"
"SKU","SKU"
"Sales","Vendas"
"Save Condition","Guardar Condição"
"Save in address book","Guardar no Livro de Endereços"
"See price before order confirmation.","Mostrar preço antes de confirmação encomenda."
"Select Address","Selecione o Endereço"
"Select Addresses","Selecione Endereços"
"Select Shipping Method","Selecione o método de envio"
"Select State/Province...","Selecionar Estado/Região"
"Select a billing address from your address book or enter a new address.","Selecione o endereço de faturação do seu livro de endereços ou insira um novo"
"Select a shipping address from your address book or enter a new address.","Selecione o endereço de envio do seu livro de endereços ou insira um novo"
"Send Payment Failed Email Copy Method","Método de envio de cópia de email na falha do método de pagamento"
"Send Payment Failed Email Copy To","Enviar cópia de email da falha de pagamento para"
"Send To","Enviar Para"
"Separate by "","".","Separado por "",""."
"Set customer for shopping cart","Definir cliente para o carrinho de compras"
"Set customer's addresses in shopping cart","Definir endereços do cliente no carrinho de compras"
"Set payment method","Definir método de pagamento"
"Set shipping method","Definir método de envio"
"Ship to Multiple Addresses","Enviar para múltiplos Endereços"
"Ship to different address","Enviar para endereço distinto"
"Ship to this address","Enviar para este endereço"
"Shipping Address","Endereço de Envio"
"Shipping Information","Informação de Envio"
"Shipping Method","Método de Envio"
"Shipping Methods","Métodos de Envio"
"Shipping To","Enviar Para"
"Shipping information","Informação Envio"
"Shipping method has not been selected yet","Não foi selecionado nenhum método de envio"
"Shipping methods in shopping cart","Métodos de envio no carrinho de compras"
"Shipping selection is not applicable.","A seleção de envio não pode ser aplicada."
"Shopping Cart","Carrinho de Compras"
"Shopping Cart Form Before","Formulário anterior ao Carrinho Compras"
"Shopping Cart Items After","Após Itens Carrinho"
"Shopping Cart Items Before","Antes Itens Carrinho"
"Shopping Cart Sidebar","Carrinho de Compras Lateral"
"Shopping Cart Sidebar Extra Actions","Ações Extra No carrinho Lateral"
"Shopping Cart is Empty","Carrinho de Compras Vazio"
"Shopping cart ability to set coupon code","Capacidade do Carrinho de Compras ter Cupões"
"Show Content as","Mostrar conteúdo como"
"Some of the requested products are not available in the desired quantity.","Alguns dos produtos solicitados não estão disponíveis na quantidade desejada."
"Some of the requested products are unavailable.","Alguns dos produtos solicitados não se encontram disponíveis."
"Some products quantities were recalculated because of quantity increment mismatch","Algumas quantidades de produtos foram recalculadas porque houve um desencontro no valor incrementado"
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Pedimos desculpas, mas convidados não podem efetuar encomendas. Tente novamente mais tarde ou entre em contacto connosco."
"Sorry, no quotes are available for this order at this time.","Pedimos desculpa, mas de momento não existem estimativas disponíveis para esta encomenda."
"State/Province","Região"
"Status","Estado"
"Store View","Vista de Loja"
"Street Address","Rua"
"Street Address %s","Endereço %s"
"Submitting order information...","A Submeter informação da encomenda..."
"Subtotal","Subtotal"
"Subtotal must exceed minimum order amount","O subtotal tem que ser superior ao montante mínimo de encomenda"
"Telephone","Telefone"
"Terms and Conditions","Termos e Condições"
"Terms and Conditions Information","Informação sobre Termos e Condições"
"Terms and conditions","Termos e Condições"
"Text","Texto"
"Thank you for your purchase!","Obrigado pela sua compra!"
"The condition has been deleted","A condições foi removida."
"The condition has been saved.","A condição foi guardada."
"The onepage checkout is disabled.","O checkout onepage está desativo."
"The product could not be found.","O produto não foi encontrado."
"The product does not exist.","O produto não existe."
"There are <a href=""%s"">%s items</a> in your cart.","Existem <a href=""%s"">%s itens</a> no seu carrinho de compras"
"There is <a href=""%s"">1 item</a> in your cart.","Existe <a href=""%s"">1 item</a> no seu carrinho."
"There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.","Já existe um cliente registado com esse endereço de email. Por favor inicie sessão ou utilize um novo email para registo"
"There was an error processing your order. Please contact us or try again later.","Ocorreu um erro ao processar a sua encomenda. Por favor entre em contacto connosco ou tente novamente."
"This condition no longer exists.","Esta condição já não existe."
"Total","Total"
"Total for this address","Total para este endereço"
"Unable to set Payment Method.","Não foi possível definir o Método de Pagamento."
"Unit Price","Preço Unitário"
"Update","Atualizar"
"Update Cart","Atualizar Carrinho"
"Update Qty &amp; Addresses","Atualizar Quantidade e Endereços"
"Update Shopping Cart","Atualizar Carrinho de Compras"
"Update Total","Atualizar Total"
"Update product quantities in shopping cart","Atualizar quantidades de produtos no carrinho"
"Update product(s) quantities in shopping cart","Atualizar quantidades de produtos no carrinho"
"Use Billing Address","Usar Endereço de Faturação"
"VAT Number","Número Fiscal"
"View Shopping Cart","Ver Carrinho Compras"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Estamos neste momento a processar a sua encomenda. e irá receber brevemente um email com os detalhes da mesma. Quando a sua encomenda for enviada irá receber um outro email com uma ligação para poder seguir o progresso da encomenda"
"What&#39;s this?","O que é isto?"
"What's this?","O que é isto?"
"You have no items in your shopping cart.","O seu carrinho de compras está vazio"
"You will receive an order confirmation email with details of your order and a link to track its progress.","Irá receber uma confirmação da encomenda com mais detalhes, assim como uma ligação para acompanhar o seu progresso."
"Your Checkout Progress","O seu progresso"
"Your billing agreement # is: %s.","O seu acordo de faturação # is: %s."
"Your order # is: %s.","A sua encomenda # é: %s."
"Your order cannot be completed at this time as there is no payment methods available for it.","Neste momento a sua encomenda não pode ser efetuada porque não existem métodos de pagamento disponíveis."
"Your order cannot be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.","Neste momento a sua encomenda não pode ser realizada porque, não existe nenhuma forma de envio disponível para esse local. Por favor efetue as alterações necessárias no Endereço de Entrega."
"Your order has been received.","A sua encomenda foi recebida"
"Your order number is ","O seu número de encomenda é "
"Your recurring payment profiles:","As suas subscrições:"
"Zip","CP"
"Zip/Postal Code","Código Postal"
"ok","ok"
"or","ou"
