"%s file does not exists or is not readable","O ficheiro %s não existe ou não foi possível ler"
"-- Please Select --","-- Por favor, selecione --"
"Import / Export FAQ (Frequently Asked Questions)","Importação / Exportação FAQ (Frequently Asked Questions)"
"Import","Importar"
"Import Behavior","Comportamento importação"
"Import FAQ","FAQ importação"
"Import Settings","Definições importação"
"Import has been done successfuly.","Importação finalizada com sucesso"
"Import successfully done.","Importação efetuada com sucesso"
"Import/Export","Importar/Exportar"
"In/Out","In/Out"
"Input entity code is not equal to entity adapter code","Input entity code is not equal to entity adapter code"
"Invalid entity","Entidade inválida"
"Invalid entity model","Invalid entity model"
"Invalid file format","Formato de ficheiro inválido"
"Invalid parameters","Parâmetros inválidos"
"Invalid seek position","Posição pedida inválida"
"Invalid value for '%s'","Valor inválido para '%s'"
"Invalid value for '%s' column","Valor inválido para a coluna %s"
"No filter data provided","Não foi providenciado nenhum filtro de dados"
"No source specified","Nenhuma fonte especificada"
"No valid data sent","Não foram enviados dados válidos"
"No writer specified","Não foi especificado nenhum writer"
"Node does not has model token tag","Node does not has model token tag"
"Not implemented yet","Ainda não implementado"
"Please fix errors and re-upload file","Por favor corrija os erros e re-envie o ficheiro"
"Please fix errors and re-upload file or simply press ""Import"" button to skip rows with errors","Por favor corrija os erros e re-carregue o ficheiro ou clique em ""Importar"" para ignorar os registos com erros"
"Products","Produtos"
"Replace Existing Complex Data","Substituir dados complexos existentes"
"Select File to Import","Selecione o Ficheiro a Importar"
"Skip","Ignorar"
"Some other FAQ","Algum outro FAQ"
"Source file moving failed","Falha ao mover o ficheiro de origem"
"Source file path must be a string","O caminho do ficheiro de origem deve ser texto"
"Source is not set","Origem não definida"
"Status","Estado"
"System busy","Sistema ocupado"
"There are no product types available for export","Não existem tipos de produtos disponíveis para exportação"
"There is no data for export","Não existem dados para exportar"
"To","Até"
"Total size of uploadable files must not exceed %s","O total dos ficheiros carregados não pode exceder %s"
"Unknown attribute filter type","Tipo de atributo de filtro desconhecido"
"Uploaded file has no extension","O ficheiro carregado não tem extensão"
"Validation Results","Resultados da validação"
"Validation finished successfully","Validação finalizada com sucesso"
"in rows","em linhas"
"in rows:","em linhas:"
