"%s %s cycle.","Ciclo %s %s."
"* Required Fields","* Campos obrigatórios"
"Payment profile is invalid:\n%s","Perfil de pagamento inválido: \n%s"
"Period frequency is wrong.","Frequência do período errada"
"Please enter a valid credit card verification number.","Por favor insira um número de verificação de cartão de crédito válido"
"Processor ID","ID processador"
"Purchase Order","Ordem de encomenda"
"Purchase Order Number","Número da encomenda adquirida"
"Purchase Order Number:","Número encomenda:"
"Purchase Order Number: %s","Número da encomenda: %s"
"Recurring Profile Start Date","Data de início de subscrição"
"Recurring profile start date has invalid format.","A data de início para subscrição tem um formato inválido."
"Reference ID is not set.","ID da referência não definido."
"Refund action is not available.","Operação de reembolso não disponível"
"Repeats %s time(s).","Repetir %s vez(es)"
"Repeats until suspended or canceled.","Repetir até suspenso ou cancelado."
"Request Card Security Code","Pedir código de segurança do cartão"
"Saved CC","CC guardado"
"Schedule Description","Descrição de agendamento"
"Schedule description must be not empty.","A descrição do agendamento não pode estar vazia"
"Selected payment type is not allowed for billing country.","O tipo de pagamento selecionado não é válido para o país de faturação."
"Send Check to","Enviar cheque para"
"Send Check to:","Enviar cheque para:"
"Severe 3D Secure Card Validation","Validação severe 3D Secure Card"
"Severe validation removes chargeback liability on merchant.","A validação severe retira a responsabilidade ao comerciante em caso de pedido de reembolso"
"Shipping Amount","Valor Envio"
"Short description of the recurring payment. By default equals to the product name.","Sumário da subscrição. Por omissão é igual ao nome do produto."
"Sort Order","Ordenação"
"Start Date","Data início"
"Start date has invalid format.","A data de início está num formato inválido"
"Start date is undefined.","A data de início não está definida"
"Subscriber Name","Nome do subscritor"
"Switch/Solo/Maestro Issue Number","Número Switch/Solo/Maestro"
"Switch/Solo/Maestro Only","Apenas Switch/Solo/Maestro"
"Switch/Solo/Maestro Start Date","Data início Switch/Solo/Maestro"
"Tax Amount","Valor imposto"
"Test Mode","Modo de testes"
"The date when billing for the profile begins.","A data em que a faturação começa para o perfil"
"The number of billing cycles for payment period.","O número de ciclos de faturação para o período de pagamento"
"The number of scheduled payments that can fail before the profile is automatically suspended.","O número de pagamentos agendados que podem falhar até que o perfil seja automaticamente suspenso."
"The payment review action is unavailable.","A ação de análise do pagamento não está disponível."
"The requested Payment Method is not available.","O método de pagamento pedido não está disponível."
"Title","Título"
"Trial Billing Amount","Montante de faturação testes"
"Trial Billing Frequency","Frequência faturação testes"
"Trial Billing Period Unit","Unidades período da faturação testes"
"Trial Period","Período de avaliação"
"Trial billing amount is wrong.","Montante para faturação período de testes inválido"
"Trial billing period unit is wrong.","As unidades do período de faturação testes"
"Trial period frequency is wrong.","Frequência para período de testes inválido"
"Trial period max cycles is wrong.","O máximo de ciclos no período de estes está errado."
"Two Weeks","Duas semanas"
"Unable to save Billing Agreement:","Não foi possível guardar o acordo de faturação:"
"Unit for billing during the subscription period.","Unidades para faturação durante o período de subscrição."
"Unsupported currency code: %s.","Código de moeda não suportado: %s"
"Void action is not available.","Operação de anulação não está disponível."
"Week","Semana"
"What is this?","O que é isto?"
"Whether to suspend the payment profile if the initial fee fails or add it to the outstanding balance.","Se se deve suspender o perfil de pagamento de taxa inicial falhar ou adiciona-lo ao dalso ativo."
"Wrong %s specified.","%s errado especificado."
"Wrong or empty billing amount specified.","Montante de faturação vazio ou inválido."
"Year","Ano"
"Zero Subtotal Checkout","Finalizar com um subtotal de zero"
